step,price,action,reward,balance,position,realized
0,87468.2,HOLD,0,0,none,
1,87487.7,HOLD,0,0,none,
2,87455.2,HOLD,0,0,none,
3,87488.6,HOLD,0,0,none,
4,87487.9,HOLD,0,0,none,
5,87550.3,HOLD,0,0,none,
6,87508.8,HOLD,0,0,none,
7,87493.4,HOLD,0,0,none,
8,87506.9,HOLD,0,0,none,
9,87515.8,HOLD,0,0,none,
10,87488.6,HOLD,0,0,none,
11,87444.0,HOLD,0,0,none,
12,87493.4,HOLD,0,0,none,
13,87519.7,HOLD,0,0,none,
14,87553.5,HOLD,0,0,none,
15,87557.6,HOLD,0,0,none,
16,87598.2,HOLD,0,0,none,
17,87596.4,HOLD,0,0,none,
18,87571.9,HOLD,0,0,none,
19,87585.4,HOLD,0,0,none,
20,87587.0,HOLD,0,0,none,
21,87570.9,HOLD,0,0,none,
22,87530.1,HOLD,0,0,none,
23,87525.5,HOLD,0,0,none,
24,87556.6,HOLD,0,0,none,
25,87542.8,HOLD,0,0,none,
26,87522.1,HOLD,0,0,none,
27,87445.4,HOLD,0,0,none,
28,87445.3,HOLD,0,0,none,
29,87448.9,HOLD,0,0,none,
30,87463.2,HOLD,0,0,none,
31,87463.1,HOLD,0,0,none,
32,87477.7,HOLD,0,0,none,
33,87446.8,HOLD,0,0,none,
34,87475.7,HOLD,0,0,none,
35,87475.6,HOLD,0,0,none,
36,87490.0,HOLD,0,0,none,
37,87462.8,HOLD,0,0,none,
38,87457.5,HOLD,0,0,none,
39,87501.5,HOLD,0,0,none,
40,87501.6,HOLD,0,0,none,
41,87529.3,HOLD,0,0,none,
42,87503.8,HOLD,0,0,none,
43,87487.6,HOLD,0,0,none,
44,87505.0,HOLD,0,0,none,
45,87494.4,HOLD,0,0,none,
46,87494.4,HOLD,0,0,none,
47,87494.2,HOLD,0,0,none,
48,87492.7,HOLD,0,0,none,
49,87524.7,HOLD,0,0,none,
50,87504.0,HOLD,0,0,none,
51,87479.3,HOLD,0,0,none,
52,87482.4,HOLD,0,0,none,
53,87460.6,HOLD,0,0,none,
54,87440.0,HOLD,0,0,none,
55,87463.0,HOLD,0,0,none,
56,87468.3,HOLD,0,0,none,
57,87444.8,HOLD,0,0,none,
58,87475.9,HOLD,0,0,none,
59,87468.9,HOLD,0,0,none,
60,87457.0,HOLD,0,0,none,
61,87422.9,HOLD,0,0,none,
62,87449.9,HOLD,0,0,none,
63,87448.9,HOLD,0,0,none,
64,87475.1,HOLD,0,0,none,
65,87487.6,HOLD,0,0,none,
66,87462.9,HOLD,0,0,none,
67,87445.6,HOLD,0,0,none,
68,87407.9,HOLD,0,0,none,
69,87379.6,HOLD,0,0,none,
70,87401.3,HOLD,0,0,none,
71,87390.6,HOLD,0,0,none,
72,87370.6,HOLD,0,0,none,
73,87408.7,HOLD,0,0,none,
74,87401.3,HOLD,0,0,none,
75,87423.6,HOLD,0,0,none,
76,87433.0,HOLD,0,0,none,
77,87426.9,HOLD,0,0,none,
